assortativity,average_degree,density,hx_avg,hx_std,transitivity
-0.13035987520000009,1.9979999999999942,0.0020000000000000013,3.1411253147810494,0.17472351637466751,0.0
-0.09575333999999999,3.9919999999999907,0.003996,3.2563286815345993,0.09934457619870145,0.009811353950000008
-0.07735482189999998,5.981999999999989,0.005987990000000013,3.29647489975105,0.07604769630929778,0.017683896999999994
-0.06572770725,7.968000000000017,0.007975980000000035,3.316909481690451,0.06591612912203419,0.02399343174999999
-0.057771539250000004,9.950000000000031,0.009959959999999992,3.3288487563002507,0.06057405513249792,0.0298756383
-0.05030229235,11.928000000000031,0.011939939999999984,3.33716916023125,0.05765080325820247,0.035434014550000024
-0.0452775285,13.902000000000033,0.013915920000000049,3.3417915809556993,0.055548282183264075,0.0406999613
-0.039322918100000014,15.871999999999963,0.015887890000000023,3.3471366729246994,0.05452161300292805,0.045546144549999994
-0.03687896399999999,17.83800000000007,0.017855860000000046,3.3501801681231993,0.05315091783681885,0.050224790849999985
-0.03265876469999999,19.80000000000007,0.019819819999999953,3.3524794301611505,0.053051036743652365,0.054535839200000005
-0.030797027399999982,21.757999999999914,0.021779780000000058,3.35445497704545,0.052469539868855455,0.0589196498
-0.027056607300000007,23.712000000000053,0.023735739999999946,3.356439136709351,0.052107111460500476,0.06313078549999998
-0.02594930455,25.661999999999985,0.0256876899999999,3.357943783387799,0.05159838521404547,0.06700410835000001
-0.022764043349999995,27.608000000000093,0.027635639999999982,3.35937133149705,0.0514359900464474,0.07089494109999998
-0.021796433299999994,29.550000000000104,0.029579580000000046,3.3604439581014494,0.05122699661834511,0.07471186024999998
-0.019855113949999996,31.488000000000056,0.03151951999999987,3.3616315099600005,0.051158798957976405,0.07842056455
-0.017940884799999987,33.42199999999985,0.03345545999999994,3.3626939221275505,0.05104988625257405,0.08200157660000001
-0.016157965199999996,35.35199999999991,0.035387390000000116,3.36359444222195,0.05090863203697718,0.08543463880000003
-0.01608142370000001,37.27800000000006,0.03731532000000008,3.36427020599285,0.05077263579784351,0.08887936920000003
-0.014573817849999999,39.199999999999875,0.039239239999999856,3.36465812073725,0.050720878050550595,0.09228745855000002
-0.013270166450000002,41.11800000000017,0.04115916000000011,3.3656556365141,0.05077223694017531,0.09556268779999993
-0.012808825049999995,44.94199999999992,0.044986989999999956,3.3657473345854005,0.05059823961349871,0.10205997634999996
-0.011014765249999997,46.84799999999996,0.04689489000000005,3.3667102493440493,0.050579599817387154,0.10520897925
-0.010574204371859295,48.75,0.04879880000000011,3.3670919222345734,0.050441310961105,0.1082958116080402
-0.009497396850000004,50.64799999999993,0.05069869999999991,3.3668936370906506,0.05038819053152653,0.11132453719999998
