assortativity,average_degree,density,hx_avg,hx_std,transitivity
-0.003910447449999998,2.0014099999999995,0.0020034133,3.1695955375783,0.12241831114379731,0.0021934706500000008
-0.0016472398499999996,3.9999200000000004,0.004003924150000002,3.25823904224805,0.08546976991953299,0.003907889150000003
-0.0018578382500000006,6.014860000000001,0.006020880649999999,3.296898631657449,0.06593325557752683,0.0060445229
-0.0022115539499999995,8.002519999999999,0.008010530399999998,3.3170445951930003,0.05827279323354543,0.007913834799999998
-0.0018261259999999995,10.008330000000003,0.01001834855,3.329033447181899,0.054595771054453394,0.009982239949999996
-0.0016362298000000015,12.005829999999996,0.01201784754999999,3.337147537125901,0.052895118720975125,0.011977102999999998
-0.0028586126499999982,14.007529999999985,0.014021551249999988,3.3431018048682493,0.052180328821000335,0.013948154450000003
-0.0016135529999999998,16.000209999999996,0.01601622629999999,3.347519099988949,0.05161163797827262,0.0160246722
-0.0015522022500000004,18.01039,0.018028418299999995,3.35073027049635,0.051293022941450016,0.01797015934999999
-0.0025017276499999987,20.00005000000001,0.020020070149999993,3.3538883437161,0.05084362261044426,0.020040861099999998
-0.0033336897499999995,22.001199999999994,0.022023223099999996,3.3553008872166994,0.05095846191593748,0.022011749150000003
-0.0009406736999999995,23.970640000000003,0.02399463465,3.357206484493949,0.05045385317318748,0.024027640099999997
-0.0025919644999999997,25.976800000000008,0.026002802949999997,3.3585597650017003,0.050606066864122744,0.025973048149999994
-0.001638614999999999,27.982059999999983,0.028010069849999996,3.3608957928178502,0.05027031889970741,0.027975969900000022
-0.00061011185,29.999090000000002,0.030029119399999988,3.36122805722975,0.05018200248865486,0.030043959249999988
-0.00214548465,32.00265000000001,0.03203468475,3.36203280488955,0.05039305944528138,0.03200549999999999
-0.0011780833500000005,33.96933000000001,0.034003333499999976,3.3631569491106506,0.050271705079867716,0.03401630565000001
-0.0022436224500000006,36.01532000000002,0.036051371399999976,3.3635998843475505,0.050094275581786134,0.03604859509999998
-0.0025275321499999993,37.98481999999998,0.038022842849999995,3.36418080765975,0.05037363006711517,0.038064933349999996
-0.0013400761500000004,39.993309999999994,0.04003334305,3.3650285320267996,0.050198852537503634,0.04005217125000002
-0.0016505998500000003,42.00688999999999,0.042048938949999996,3.366057071075949,0.05017344479260049,0.04201568620000001
-0.0023942928499999998,43.96152000000002,0.04400552535,3.3661776106472,0.05026657005132115,0.04401605405
-0.00279470195,45.96532000000001,0.04601133145,3.3669256676767,0.05011684418541891,0.04602191514999999
-0.0026879306500000016,47.982850000000006,0.04803088075,3.3669370668613996,0.05019615297061717,0.048038932549999996
-0.0026873047000000017,50.006359999999994,0.050056416200000016,3.3674998015771007,0.05002513656793006,0.05003314960000001
